timestamp,open,high,low,close
2017-09-22,1.19418,1.20338,1.18600,1.19510
2017-09-15,1.20187,1.20300,1.18370,1.19418
2017-09-08,1.18783,1.20924,1.18670,1.20350
2017-09-01,1.19519,1.20704,1.18210,1.18570
2017-08-25,1.17538,1.19415,1.17294,1.19240
2017-08-18,1.18215,1.18400,1.16618,1.17600
2017-08-11,1.17859,1.18473,1.16878,1.18241
2017-08-04,1.17592,1.19103,1.17210,1.17720
2017-07-28,1.16726,1.17768,1.16120,1.17510
2017-07-21,1.14699,1.16830,1.14330,1.16590
2017-07-14,1.13999,1.14896,1.13690,1.14613
2017-07-07,1.14252,1.14400,1.13110,1.13980
2017-06-30,1.11964,1.14456,1.11700,1.14270
2017-06-23,1.12036,1.12129,1.11168,1.11830
2017-06-16,1.12036,1.12960,1.11300,1.11837
2017-06-09,1.12785,1.12843,1.11640,1.11940
2017-06-02,1.11827,1.12851,1.11070,1.12790
2017-05-26,1.12062,1.12683,1.11590,1.11770
2017-05-19,1.09253,1.12122,1.09200,1.12040
2017-05-12,1.09930,1.09968,1.08370,1.09260
2017-05-05,1.09023,1.10000,1.08730,1.09950
2017-04-28,1.08842,1.09509,1.08180,1.08932
2017-04-21,1.06048,1.07776,1.06020,1.07246
2017-04-14,1.05784,1.06777,1.05680,1.06117
2017-04-07,1.06712,1.06900,1.05780,1.05895
2017-03-31,1.08479,1.09061,1.06498,1.06630
2017-03-24,1.07529,1.08247,1.07170,1.07950
2017-03-17,1.06791,1.07824,1.05980,1.07338
2017-03-10,1.06094,1.06991,1.05220,1.06700
2017-03-03,1.05591,1.06306,1.04930,1.06182
2017-02-24,1.06201,1.06330,1.04920,1.05510
2017-02-17,1.06308,1.06800,1.05190,1.06128
2017-02-10,1.07840,1.07889,1.06060,1.06370
2017-02-03,1.07135,1.08288,1.06188,1.07804
2017-01-27,1.07029,1.07750,1.06550,1.06979
2017-01-20,1.06213,1.07200,1.05770,1.06990
2017-01-13,1.05331,1.06848,1.04520,1.06399
2017-01-06,1.05180,1.06221,1.03394,1.05320
2016-12-30,1.04546,1.06542,1.03700,1.05160
2016-12-23,1.04457,1.04993,1.03500,1.04460
2016-12-16,1.05456,1.06701,1.03640,1.04492
2016-12-09,1.05333,1.08735,1.05038,1.05578
2016-12-02,1.05975,1.06899,1.05520,1.06608
2016-11-25,1.05864,1.06600,1.05160,1.05892
2016-11-18,1.08380,1.08398,1.05670,1.05841
2016-11-11,1.10838,1.12996,1.08290,1.08519
2016-11-04,1.09779,1.11450,1.09340,1.11450
2016-10-28,1.08785,1.09917,1.08480,1.09810
2016-10-21,1.09710,1.10392,1.08570,1.08838
2016-10-14,1.11919,1.12004,1.09660,1.09660
2016-10-07,1.12353,1.12416,1.11020,1.12000
2016-09-30,1.12347,1.12800,1.11510,1.12403
2016-09-23,1.11588,1.12574,1.11200,1.12260
2016-09-16,1.12365,1.12842,1.11470,1.11566
2016-09-09,1.11567,1.13271,1.11380,1.12250
2016-09-02,1.11953,1.12520,1.11210,1.11520
2016-08-26,1.13137,1.13553,1.11790,1.11950
2016-08-19,1.11599,1.13663,1.11510,1.13250
2016-08-12,1.10909,1.12214,1.10680,1.11623
2016-08-05,1.11711,1.12338,1.10440,1.10810
2016-07-29,1.09712,1.11974,1.09500,1.11750
2016-07-22,1.10572,1.10838,1.09530,1.09750
2016-07-15,1.10499,1.11648,1.10140,1.10261
2016-07-08,1.11294,1.11860,1.10008,1.10490
2016-07-01,1.10720,1.11694,1.09699,1.11350
2016-06-24,1.13229,1.14280,1.09108,1.11148
2016-06-17,1.12491,1.13029,1.11289,1.12790
2016-06-10,1.13561,1.14155,1.12438,1.12484
2016-06-03,1.11107,1.13736,1.10959,1.13627
2016-05-27,1.12163,1.12429,1.11087,1.11087
2016-05-20,1.13145,1.13462,1.11770,1.12191
2016-05-13,1.13963,1.14467,1.12810,1.13050
2016-05-06,1.14542,1.16163,1.13840,1.13991
2016-04-29,1.12307,1.14600,1.12225,1.14485
2016-04-22,1.12815,1.13933,1.12153,1.12153
2016-04-15,1.14045,1.14648,1.12310,1.12824
2016-04-08,1.13914,1.14540,1.13250,1.13950
2016-04-01,1.11597,1.14377,1.11520,1.13940
2016-03-25,1.12733,1.12854,1.11427,1.11630
2016-03-18,1.11641,1.13425,1.10550,1.12690
2016-03-11,1.09920,1.12178,1.08218,1.11520
2016-03-04,1.09166,1.10434,1.08236,1.10040
2016-02-26,1.11160,1.11247,1.09100,1.09310
2016-02-19,1.12382,1.12416,1.10650,1.11264
2016-02-12,1.11456,1.13763,1.10840,1.12540
2016-02-05,1.08290,1.12457,1.08124,1.11521
2016-01-29,1.07926,1.09677,1.07875,1.08270
2016-01-22,1.09103,1.09760,1.07768,1.07934
2016-01-15,1.09439,1.09846,1.08020,1.09140
2016-01-08,1.08665,1.09463,1.07080,1.09193
2016-01-01,1.09618,1.09925,1.08480,1.08584
2015-12-25,1.08553,1.09842,1.08460,1.09730
2015-12-18,1.09709,1.10600,1.08000,1.08629
2015-12-11,1.08755,1.10428,1.07930,1.09865
2015-12-04,1.05917,1.09811,1.05216,1.08818
2015-11-27,1.06436,1.06900,1.05650,1.05874
2015-11-20,1.07360,1.07630,1.06150,1.06419
2015-11-13,1.07304,1.08303,1.06710,1.07720
2015-11-06,1.10322,1.10530,1.07051,1.07356
2015-10-30,1.10188,1.10960,1.08960,1.10110
2015-10-23,1.13521,1.13871,1.09950,1.10150
2015-10-16,1.13619,1.14952,1.13330,1.13473
2015-10-09,1.12152,1.13872,1.11700,1.13550
2015-10-02,1.11900,1.13184,1.11320,1.12070
2015-09-25,1.12943,1.13301,1.11020,1.11920
2015-09-18,1.13440,1.14602,1.12110,1.13080
2015-09-11,1.11452,1.13495,1.11200,1.13390
2015-09-04,1.11977,1.13322,1.10850,1.11490
2015-08-28,1.13910,1.17140,1.11541,1.11798
2015-08-21,1.11050,1.13930,1.10150,1.13836
2015-08-14,1.09650,1.12140,1.09230,1.11040
2015-08-07,1.09754,1.09959,1.08460,1.09617
2015-07-31,1.09750,1.11294,1.08920,1.09804
2015-07-24,1.08385,1.10179,1.08070,1.09800
2015-07-17,1.11190,1.11969,1.08240,1.08280
2015-07-10,1.10217,1.12159,1.09140,1.11516
2015-07-03,1.09901,1.12785,1.09670,1.11150
2015-06-26,1.13605,1.14103,1.11290,1.11617
2015-06-19,1.12260,1.14362,1.11860,1.13500
2015-06-12,1.11079,1.13865,1.10810,1.12571
2015-06-05,1.09681,1.13800,1.08850,1.11068
2015-05-29,1.10017,1.10097,1.08170,1.09908
2015-05-22,1.14400,1.14470,1.09990,1.10020
2015-05-15,1.11967,1.14667,1.11280,1.14420
2015-05-08,1.11855,1.13917,1.10640,1.11920
2015-05-01,1.08650,1.12900,1.08180,1.11958
2015-04-24,1.07940,1.09002,1.06580,1.08695
2015-04-17,1.06126,1.08487,1.05190,1.08051
2015-04-10,1.10019,1.10356,1.05660,1.05968
